id,name,address,category,naver_category,new_cuisine_type,new_main_category
43629,미안 가산직영점,"서울특별시 금천구 가산디지털2로 135, 가산 어반워크I 1층 120호 (가산동)",기타,음식점>한식,한식,RESTAURANT
43660,세아푸드,"서울특별시 은평구 연서로 313-1, 1층 우측호 (불광동)",기타,,기타,RESTAURANT
43693,먹보,"서울특별시 은평구 연서로 39, 1층 (역촌동)",기타,술집>요리주점,술집/바,PUB
43752,체리브라운,"서울특별시 은평구 응암로30길 15, 상가동 1층 104호 (응암동, 백련산 해모로 아파트)",기타,"음식점>카페,디저트",카페,CAFE
43767,도몽,"서울특별시 은평구 갈현로33길 12, 1층 (갈현동)",기타,"음식점>카페,디저트",카페,CAFE
43796,혼미,"서울특별시 은평구 은평로 193-2, 1층 (녹번동)",기타,술집>바(BAR),술집/바,PUB
43815,타디스2,"서울특별시 은평구 불광로 44-2, 지하1층 (불광동)",기타,"술집>맥주,호프",술집/바,PUB
43818,수제 누룽지,"서울특별시 은평구 가좌로 235, 1층 (응암동)",기타,"한식>육류,고기요리",고기/구이,RESTAURANT
43862,골덴(GOLDEN),"서울특별시 종로구 삼일대로30길 34-5, 1층 (익선동)",기타,브런치카페,양식,RESTAURANT
43865,MARINA(마리나),"서울특별시 은평구 통일로73길 26, 지하1층, 1층 (대조동)",기타,"음식점>카페,디저트",카페,CAFE
43921,볼베어파크 은평점,"서울특별시 은평구 통일로 1050, 롯데몰 은평점 4층 (진관동)",기타,"키즈카페,실내놀이터",카페,CAFE
43949,은마 꽈배기,"서울특별시 은평구 통일로69길 27, 홍복빌딩 1층 5호 (대조동)",기타,"카페,디저트>베이커리",아시아음식,RESTAURANT
43987,쿠아레비 구산,"서울특별시 은평구 서오릉로 149, 1층 (구산동)",기타,"카페,디저트>베이커리",아시아음식,RESTAURANT
44067,로더하이트,"서울특별시 은평구 갈현로 75, 지하1층 (역촌동)",기타,술집>와인,술집/바,PUB
44074,엔젤,"서울특별시 은평구 통일로83길 6-8, 지하1층 (갈현동)",기타,"쇼핑,유통>종합도소매",기타,RESTAURANT
44167,미미,"서울특별시 은평구 연서로 276, 지하1층 (불광동)",기타,분식>김밥,분식,RESTAURANT
44172,숨비로와,"서울특별시 은평구 은평로8길 9, 1층 (응암동)",기타,브런치카페,양식,RESTAURANT
44253,르뺑 드 라라,"서울특별시 은평구 갈현로 56, 1층 102,103호 (역촌동, 서흥하이빌)",기타,"카페,디저트>베이커리",아시아음식,RESTAURANT
44285,수류화개,"서울특별시 은평구 북한산로 264, 2층 (진관동)",기타,,기타,RESTAURANT
44288,쿠지(COOGEE),"서울특별시 강남구 역삼로5길 12, 지상1층 (역삼동)",기타,"카페,디저트>베이커리",아시아음식,RESTAURANT
44313,연신내도담,"서울특별시 은평구 갈현로 262, 1층 (갈현동)",기타,음식점>한식,한식,RESTAURANT
44319,꼬알라파이,"서울특별시 은평구 은평로 204, 1층 (응암동)",기타,분식>김밥,분식,RESTAURANT
44366,Garden of yeonseo (연서의 정원),"서울특별시 은평구 연서로 253-7, 1층 (불광동)",기타,"음식점>카페,디저트",카페,CAFE
44444,미작,"서울특별시 은평구 응암로30길 15, 상가동 1층 108호 (응암동, 백련산해모로)",기타,미용>미용실,기타,RESTAURANT
44493,느루의,"서울특별시 은평구 진흥로 184-1, 대원빌딩 1층 102호 (녹번동)",기타,"음식점>카페,디저트",카페,CAFE
44702,향미미,"서울특별시 서대문구 연세로5가길 18, 2층 (창천동)",기타,중식>중식당,중식,RESTAURANT
44703,엔드그리고,"서울특별시 서대문구 홍제천로 186, 1층 102호 (연희동)",기타,술집>와인,술집/바,PUB
44957,과일토끼,"서울특별시 강서구 강서로 497, 학원빌딩 1층 102호 (가양동)",기타,"카페,디저트>과일,주스전문점",카페,CAFE
45029,10평,"서울특별시 서대문구 세검정로 19-1, 1층 제1호 (홍은동)",기타,술집>요리주점,술집/바,PUB
45030,카시코이,"서울특별시 서대문구 성산로 253-4, 금송빌딩 1층 (연희동)",기타,"음식점>카페,디저트",카페,CAFE
45116,인더쉘,"서울특별시 서대문구 통일로40길 47, 1층 (홍제동)",기타,,기타,RESTAURANT
45129,고유(KO.U),"서울특별시 서대문구 연희로 90-1, 2층 (연희동)",기타,"음식점>카페,디저트",카페,CAFE
45324,술익는 고을,"서울특별시 서대문구 수색로2길 6 (남가좌동,(지상1층))",기타,"술집>맥주,호프",술집/바,PUB
45455,쌍띠에(sen-tier),"서울특별시 서대문구 세검정로 7, 1층 (홍은동)",기타,,기타,RESTAURANT
45510,시크릿메이트샤리마,서울특별시 서대문구 연세로4길 47 (창천동),기타,"카페,디저트>베이커리",아시아음식,RESTAURANT
